Id_Estado,Estado
1,"California"
2,"Iowa"
3,"Texas"
4,"North Dakota"
5,"Nevada"
6,"Florida"
7,"Alabama"
8,"Utah"
9,"Washington"
10,"New York"
11,"South Carolina"
12,"Ohio"
13,"Wisconsin"
14,"Tennessee"
15,"Idaho"
16,"Pennsylvania"
17,"North Carolina"
18,"Mississippi"
19,"Indiana"
20,"Michigan"
21,"Louisiana"
22,"New Mexico"
23,"New Jersey"
24,"Illinois"
25,"Vermont"
26,"Missouri"
27,"Georgia"
28,"Oregon"
29,"Massachusetts"
30,"Minnesota"
31,"Nebraska"
32,"Virginia"
33,"South Dakota"
34,"Montana"
35,"Kentucky"
36,"Maryland"
37,"New Hampshire"
38,"Alaska"
39,"West Virginia"
40,"Maine"
41,"Arkansas"
42,"Delaware"
43,"Wyoming"
44,"Rhode Island"
45,"Oklahoma"
46,"Kansas"
47,"Hawaii"
48,"Puerto Rico"
