Id_Negocio,Nombre,Id_Ciudad,Direccion,Latitud,Longitud,Estrellas,Id_Categoria,Num_Reviews
__2LkeVwTuKar5AE95Idzw,McDonald's,33,"11007 Bloomingdale Ave",27.8932,-82.3198,1.5,1,13
__AB6oytCW4hD2Jca02kRA,Chick-fil-A,268,"184 W County Ctr N Spc, Space N",38.5997,-90.4469,3.5,1,15
__Dbc84VjNmVLNgyTUP4iw,"Vampire Penguin",122,"10789 Park Blvd",27.8412,-82.7884,4.5,1,79
__I81oH6jmYwh1YXjVWsWA,"The Corkscroo Bar & Pizzeria",7,"10 E 9th St",39.5361,-119.816,4.5,1,14
__qax_vxKX9FjNNyye9z9A,"Fast Freddie's Diner",171,"624 W Main St",36.3031,-86.6376,4,1,6
__qZrCESIQTMEtXTIhcXsw,"Bo'diddly's Pub & Grill",12,"2331 66 St NW, Ste 101",53.455,-113.431,3,1,8
__yJPcT-C68DuQ4dHdsrmg,"Dentistry on 1st",4,"4801 N 1st Ave",32.2941,-110.962,2.5,2,20
_-8jQkki4Q5XohOeLwNP7g,"West Chester AutoHaus",81,"700 E Market St",39.964,-75.5943,5,3,7
_-8TAMmIbDGkZCXAqSkFMg,"Slack's Hoagie Shack",83,"158 Baltimore Pike",39.9236,-75.3165,3.5,1,58
_-ag9LGrOJkJW3bXmtAv-w,Walgreens,16,"2418 S Carrollton Ave",29.9565,-90.1204,2.5,4,33
_-fCzPISzr0cU8zYJMnkSQ,"Argyles Deli",7,"254 W 1st St",39.5249,-119.816,3.5,1,12
_-otZU2dbPrEZyaVSMmvDg,"Little Vic's",16,"719 Toulouse St",29.9575,-90.0658,4,1,186
_-pvGUjCHAnfMlPRObpJcw,"Dairy Queen",88,"108 Street Rd",40.1812,-75.056,3,1,9
_-SSObHzljeA11HAF0lIrQ,Hardee's,13,"4116 W Hillsborough Ave",27.9955,-82.5125,2.5,1,27
_-SxTpN4usnSeevSl-ZYbg,"Officemax 1218",4,"10595 N Oracle Rd",32.4,-110.959,3.5,4,12
_-vALzH-z7SoHyBYXE9EDw,"Dental Studio 4 Kids",36,"4675 Van Dyke Rd, Ste B",28.1281,-82.5185,4.5,2,8
_-wIHIzRdvqPQlzTu8oVSQ,"Charlene Hirsch, DMD",1,"738 S 10th St",39.9407,-75.1595,4.5,2,6
_-Wlo1MmNd74dqMVXiu-HA,"Green City Beauty",1,"1036 Pine St",39.9447,-75.1595,5,4,38
_-XYJgVGrNMtn_S6nPm-GQ,"Vinnie's Italian Beef and Gyros",30,"3208 Ivanhoe Ave",38.6055,-90.3036,4.5,1,188
_04-HPScnydxc8m4B3bnhw,"ACME Markets",99,"2098 Naamans Rd",39.8237,-75.5002,2.5,1,21
_04zRVBKs7Cqsc3TWf-KRg,"Muva’s Kitchen",6,"3037 Lafayette Rd",39.8106,-86.2212,4,1,34
_05DcCQmCP5aGnfCnI4r9Q,"Capital One Café",1,"135 S 17th St, Ste A",39.9501,-75.1689,4,1,178
_0JAjja8Pc2StBrhEgdf5Q,"Corner Bakery Cafe",166,"3 West Rd",40.2343,-74.9447,3,1,66
_0JDs_1DLtLH5XppCbSk_A,"Aromatic House of Kabob",1,"113 Chestnut St",39.9484,-75.1431,3.5,1,29
_0sis5-KdPTzkt5fuOwTCA,"Ron's Auto Service, Inc.",201,"301 W Kings Hwy",39.884,-75.068,5,3,5
_0u1MwrTyXx7bLWuVW1XwQ,"Juan's Mexican Grill",118,"1409 Main St",28.0191,-82.7676,3.5,1,86
_0yC3ZPvPu_bV-zzSYtBdQ,"Planet Beach - Kenner",5,"819 W Esplanade Ave, Ste I",30.0203,-90.2575,5,4,6
_0zJGuEoyXlaH98gZD6-cw,"Roman & Leo",75,"8800 North St, Ste 115",39.9584,-86.0135,5,4,6
_12864iQDcnAs317NlF0hQ,"Studio Movie Grill",13,"12332 University Mall Ct",28.0569,-82.4345,2.5,1,265
_17mPclvO7AGufoCZoFuqQ,"Penn Dental Family Practice - Locust Walk",1,"240 S 40th St, Fl 3",39.9528,-75.2032,2.5,2,13
_1dKyxpiEYjhCNGSdIn_kw,"Practically Frivolous",46,"4140 16th St N",27.8098,-82.6554,4.5,2,12
_1JgT69ALWvHExQNz48_8Q,"Payless Liquors",72,"14580 River Rd",39.9983,-86.038,4,1,5
_1JmbxhyiTXO_CDytQTkgA,"Ike's Sandwiches",7,"2175 N Virginia St",39.5483,-119.822,4,1,194
_1n5XmMJ0cxxg9qMJTXqvw,Arby's,106,"8301 Little Rd",28.2777,-82.6752,2.5,1,9
_1PCcAGXECmf-dTLiCM7Iw,"Regenerative Orthopedic Institute",13,"8011 N Himes Ave, Ste 3",28.023,-82.5003,4,2,6
_1rB4ggX8rhCPHmqqYnltw,"Shums Auto Repair",1,"3600 Rhawn St",40.042,-75.029,5,3,9
_1yhtgezlYuEAOM4C9nSSw,"Laura Buick GMC",239,"903 N Bluff Rd",38.6917,-90.0093,3.5,3,102
_2_FDNxeMycDv_yp6BLHog,Hosteeva,73,"4736 W Napoleon Ave",29.9936,-90.1855,1.5,3,9
_2123T9_PBFtUKSKUhpuVw,"Vibra Hospital of Boise",64,"6651 W Franklin Rd",43.6034,-116.264,2,2,9
